"budget","domgross"
9.5e+07,63570862
5e+07,48265581
7.5e+07,229086679
5e+07,41263140
8e+07,17650704
2e+08,658672302
9e+07,47546796
3400000,12636
4500000,3802260
6.5e+07,70645997
5.5e+07,21226204
5.7e+07,51364680
5900000,22231658
5e+07,25426861
2e+07,26792700
7e+06,24567751
3e+06,295493
2e+07,25728961
2e+06,1577287
1.3e+07,26570048
7.5e+07,306169255
6e+07,60592389
2.5e+07,25023424
250000,212285
8e+07,37771017
8e+07,180981886
14500000,46338728
1.5e+07,103046663
4500000,13417292
9e+06,36049108
8e+07,90463534
1.8e+07,26936265
4.6e+07,92027888
5e+07,33109743
2500000,25857416
4.7e+07,60240295
1.5e+07,24769466
3.5e+07,78716374
5.5e+07,18582965
3e+07,105489203
4.5e+07,20404841
1e+08,100138851
6.5e+07,33447612
4.2e+07,41267469
7.5e+07,134069511
3100000,16501785
8.8e+07,241888385
1e+06,1287480
3e+05,1652472
6.5e+07,172070496
5e+07,30306268
1e+08,184031112
2500000,5274005
7.2e+07,75545647
5.2e+07,42438300
5.5e+07,100328194
13700000,56598476
5e+07,81022333
2e+07,32051917
9e+07,100012499
4e+06,4301000
2e+07,17468887
6.5e+07,100458310
6100000,2108367
2e+07,70433227
5e+07,67823573
5.5e+07,141579773
2.8e+07,38372662
5.8e+07,53458319
3.3e+07,17142080
3e+07,100125643
16500000,42993774
4e+07,20350754
3.5e+07,60054449
2.5e+07,4064333
6.2e+07,60022813
2.2e+07,71516617
250000,2210408
2.2e+07,50621733
3.2e+07,18552460
6e+06,23341568
3e+07,191780865
2.9e+07,57141459
1.75e+08,88246220
8e+05,4198137
1.2e+07,72217396
5e+07,42586861
27000,3073428
1.4e+07,13024170
1.6e+07,127175374
1.8e+07,5828466
5.5e+07,329694499
3e+07,66502573
1.5e+07,50003303
3e+07,51041856
1e+07,126247
6e+07,29136626
8e+06,107928762
3e+07,121248145
5.5e+07,71565669
3.5e+07,33423000
4.5e+07,92115211
4e+07,2816518
79300000,422780140
1.8e+07,119920129
2.2e+07,144833357
4e+07,31835600
2.5e+07,28241469
4.5e+07,57362581
2.8e+07,44853581
1e+08,146282411
6.5e+07,84049211
1.4e+07,68856263
6900000,7950889
2.5e+07,10731997
14600000,70906973
2.8e+07,39360491
6.3e+07,395708305
2.5e+07,219195051
3e+05,2528664
2.5e+07,96067179
4.2e+07,20844907
3.4e+07,32014993
4.4e+07,183875760
2.4e+07,669276
1.5e+07,22954968
2.5e+07,56505065
3.3e+07,141340178
4e+07,107533925
2.8e+07,217350219
5.5e+07,54927174
1.1e+07,11502976
8e+07,162833635
7e+06,14231669
5.5e+07,58422650
7000,2040920
12500000,10725228
4.2e+07,19487173
2e+07,173585516
3.5e+07,48169910
1.1e+07,52929168
1200000,2832029
4e+06,62546695
1e+07,50752337
1.2e+07,27281507
8e+06,21706101
2e+07,121697323
2e+07,218951625
2e+07,37537675
7e+07,119654823
6.5e+07,17218916
5e+07,165493908
23000,1227508
2.7e+07,74888996
2.5e+07,78656813
1e+08,204859496
3e+07,113502246
2.3e+07,86930411
2e+07,130726716
1.4e+07,34729091
4e+07,87666629
1.3e+07,26904572
7e+06,4372561
7e+07,117323878
2e+07,53976987
2.6e+07,61308153
2.2e+07,217631306
2.5e+07,46743809
1.5e+07,285761243
7e+06,5017971
3.5e+07,28317513
1.4e+07,178406268
3e+07,120709866
1.25e+08,58877969
1e+07,16667084
4e+07,118450002
3.5e+07,251188924
1e+07,40485039
16400000,95860116
9e+06,10161099
4.8e+07,197171806
4.2e+07,34667015
1.1e+07,49793054
1e+07,30050028
1200000,24741667
3e+07,52210049
7e+07,54243125
1.8e+07,7190505
5e+06,6157157
7e+06,20257000
8e+06,19585
1.5e+07,73326666
1500000,11806119
9e+06,33244684
1.4e+07,34700000
2.8e+07,81350242
3e+07,38413606
1.6e+07,13854000
6e+06,12793213
9500000,14114000
2.5e+07,172825435
3.2e+07,60328558
12300000,48092846
7e+06,8373585
4e+06,1.3e+07
1.5e+07,111936388
7e+07,154112492
1.3e+07,44726644
2e+07,153665036
3500000,5923044
1.4e+07,156645693
1.3e+07,123922370
1e+06,14564000
1.5e+07,65192350
1.8e+07,59735548
1.6e+07,14792779
1.2e+08,54764805
22700000,38119483
1.7e+07,11227824
2.5e+07,43984000
8500000,32222567
1.5e+07,30857000
1.7e+07,85160248
5e+06,174803506
1.6e+07,5900000
3e+07,16295774
3e+07,38747385
1.8e+07,41382841
6e+06,137963328
8e+06,52287414
1.5e+07,1953732
1.5e+07,179800601
1.9e+07,210609762
1.5e+07,9929135
1e+07,35073978
2e+07,18400000
2.5e+07,15502112
17900000,6905861
2.7e+07,10618813
1.5e+07,93589701
3.5e+07,63075011
1.8e+07,51973029
1.5e+07,234760478
1e+07,8801940
1.8e+07,26400000
4.5e+07,27447471
2600000,32980880
3e+07,238632124
1.1e+07,148168459
2.8e+07,179880271
4500000,81198894
1500000,2300000
8e+06,62599495
1.8e+07,76471046
4e+07,176591618
6400000,38019031
7e+06,90463574
32500000,309205079
3.9e+07,59950623
5952000,2120439
1.2e+07,74433837
2.8e+07,32656328
12500000,7e+06
2e+07,38264085
5e+06,12592907
10500000,435110554
4500000,27092880
1.4e+07,47212904
2250000,36690067
10700000,74706019
4e+06,109492484
1.2e+07,79912963
20500000,69701637
1.5e+07,177200000
1.7e+07,26918576
1.2e+07,11487676
6e+06,25244700
1250000,21722776
2500000,25533818
9300000,19571091
1.1e+07,31672000
2e+07,248159971
375000,2400000
1.2e+07,37400000
3500000,83453539
2e+07,2e+06
1.8e+07,22455510
3.5e+07,27107960
1.7e+07,65002019
4.4e+07,3484331
1.5e+07,69847348
1.8e+07,23380203
5100000,9709597
2.3e+07,290271960
5.4e+07,108185706
2.7e+07,57229890
1.8e+07,29511112
1.9e+07,44017374
9e+06,80930630
31500000,78800000
3.1e+07,70300000
3.5e+07,82258456
18500000,65233369
3e+06,141600000
2.8e+07,58990765
3e+06,3446749
6e+06,181813770
1.5e+07,58269151
1750000,93051
5.5e+07,134218018
1.5e+07,5e+07
2.6e+07,50800000
4e+06,38251425
2e+07,1.66e+08
1e+05,7e+06
3400000,31063038
6e+06,65108
1.1e+07,460998007
3e+07,20040895
3e+06,13200000
7e+06,2.5e+07
3800000,23689877
1e+06,117235147
4400000,36145695
1e+07,24397469
1e+06,28262574
1.1e+07,2e+07
1.2e+07,2.6e+08
4e+05,3427696
4400000,108981275
1200000,139876417
9e+06,16235738
2600000,119500000
1600000,4420000
1.3e+07,57300000
140000,26572439
140000,26572439
2800000,86300000
777000,1.15e+08
15700000,15700000
2e+06,18344729
1.2e+07,204868002
5500000,159616327
12000,413802
7e+06,134966411
2500000,12300000
53012938,70327868
2.5e+07,10324441
2200000,41158757
3e+06,4e+06
1e+06,9e+06
